"time","level","task.parent, task.position, task.id, task.title"
3:06:06 PM,Info,"null,""00000000000000000006"",""cnc5b3otcE53d1NHeVFzWg"",""DAD-Deal with notify bbv about bcbs"""
3:06:06 PM,Info,"VWxRNmdSdzBwc2NLZ1diXw,""00000000000000000002"",""Uk9GYWtTZkRrWWpsVkRvZQ"",""pay comcast"""
3:06:06 PM,Info,"null,""00000000000000000004"",""QnFoZGJvQlgyRWE4eHZZLQ"",""(W) Pick dates ==> huntington beach"""
3:06:06 PM,Info,"null,""00000000000000000000"",""YnIzeEhSRzktSlZMV2hUOQ"",""get stapler for my desk"""
3:06:06 PM,Info,"null,""00000000000000000005"",""MVNFVjNzTmlzbnkwNnBOMg"",""Try remote starter?"""
3:06:06 PM,Info,"null,""00000000000000000007"",""MmE4RjF2X3JqRWNibHhnSw"",""Santander cd matures jan 11 - check rate before autorenew"""
3:06:06 PM,Info,"d0NtZWxfcU9jdU85SnV5Ug,""00000000000000000001"",""Y0hGVjlkTlFQNV9aV0xPNg"",""tell drs to send to cvs caremark mail svc pharm"""
3:06:06 PM,Info,"d0NtZWxfcU9jdU85SnV5Ug,""00000000000000000000"",""dmsycHh3b21Sd0g1SC05dw"",""make sure scripts xferred - albuterol"""
3:06:06 PM,Info,"null,""00000000000000000013"",""d0NtZWxfcU9jdU85SnV5Ug"",""New prescription provided effective 01/01/2023"""
3:06:06 PM,Info,"VWxRNmdSdzBwc2NLZ1diXw,""00000000000000000001"",""TVotRnVPQko4T0dYWlZ1Rg"",""Pay credit card"""
3:06:06 PM,Info,"null,""00000000000000000015"",""NXRoa2JFTTYybVVhaTVSSg"",""🚙 Dunkin card ==> wallet"""
3:06:06 PM,Info,"null,""00000000000000000002"",""SktCMkhsbDNrZ25PR1RZSQ"",""Wash jeans and pajamas"""
3:06:06 PM,Info,"null,""00000000000000000003"",""YmlLSWxEMW9Fam5JSzd5MQ"",""Dimmer for leds"""
3:06:06 PM,Info,"null,""00000000000000000001"",""ZVVCaG9TSzBpWUFjMmc3Rw"",""‼️ When do i go back to gym??"""
3:06:06 PM,Info,"cnc5b3otcE53d1NHeVFzWg,""00000000000000000000"",""SFFvdWtqdFBLdm1XZVpvUg"",""Hospice"""
3:06:06 PM,Info,"null,""00000000000000000008"",""QmtkY2VmbVJtRkN6WVF1NQ"",""Find place for massager"""
3:06:06 PM,Info,"ZGdjVjNnS0t1UDZiNzZIVA,""00000000000000000000"",""NVFGTHZ2a1BCXzVNaDBuQQ"",""Write a quicksort or bubblesoty"""
3:06:06 PM,Info,"null,""00000000000000000014"",""ZGdjVjNnS0t1UDZiNzZIVA"",""Golang - tasks data structure pgm"""
3:06:06 PM,Info,"null,""00000000000000000009"",""WDVEZUlRSnliSVpfdlRMVg"",""Fix toilet"""
3:06:06 PM,Info,"null,""00000000000000000010"",""OFZnb3luOTJwQXpNQTVkUQ"",""Bake beer bread!"""
3:06:06 PM,Info,"null,""00000000000000000012"",""VWxRNmdSdzBwc2NLZ1diXw"",""Bills/ebills"""
3:06:06 PM,Info,"VWxRNmdSdzBwc2NLZ1diXw,""00000000000000000000"",""b01xR0MtTHI0NzZJYzZDQw"",""Writeup steins for boys and mail"""
3:06:06 PM,Info,"null,""00000000000000000011"",""blp1TXFKY3VaUjJELUZvag"",""=== Chromebook ===="""
3:06:06 PM,Info,"NXRoa2JFTTYybVVhaTVSSg,""00000000000000000000"",""bEFCQVp5SmRDdFhPajZiVg"",""GYM GIFTS and cards"""